Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2021-07-02,139.8,139.2,139.8,137,8.15,0
2021-07-02,139.8,139.2,139.8,137,8.15,0.14
2021-07-01,133.6,139,139,131.2,3,0.87
2021-06-30,139,137.8,139.8,137.2,5.07,0.88
2021-06-29,136,136.6,138.2,135.2,4.05,0.29
2021-06-28,131.6,136.2,136.2,129.6,8.65,2.41
2021-06-25,128,133,136.2,127.6,3.52,4.72
2021-06-24,126.2,127,127,121,1.79,0.63
2021-06-23,127.4,126.2,128,126.2,1.95,-0.63
2021-06-22,128,127,128,126.2,1.28,-0.78
2021-06-21,129.6,128,129.6,126.2,6.75,-1.08
2021-06-18,123.8,129.4,130,123.6,5.32,4.52
2021-06-17,122,123.8,124,121.2,2.34,1.81
2021-06-16,123.6,121.6,123.6,121.2,1.7,-1.78
2021-06-15,120.8,123.8,123.8,119.6,2.15,2.48
2021-06-14,118.8,120.8,120.8,118.6,0.83,0.83
2021-06-11,123.4,119.8,125,119.2,9.8,-2.6
2021-06-10,120,123,123,119.2,3.77,1.82
2021-06-09,122.8,120.8,122.8,119.6,0.64,-0.49
2021-06-08,120.6,121.4,123,119.6,2.69,-0.98
2021-06-07,117.4,122.6,123,117.4,2.06,3.55
2021-06-04,120.8,118.4,121.2,116.8,2.85,0.17
2021-06-03,118.2,118.2,118.2,118.2,0,0
2021-06-01,118,118.2,119.4,117,2.08,0
2021-05-31,120,118.2,120,117.6,0.76,-0.67
2021-05-28,119.2,119,120.4,116.4,3.54,0
2021-05-27,125.6,119,126.2,119,34.59,-5.41
2021-05-26,120.2,125.8,126.2,120.2,11.58,4.31
2021-05-25,116.6,120.6,122,116.6,8.39,3.43
2021-05-24,117.2,116.6,119.4,115.4,4.04,-0.85
2021-05-21,119,117.6,120,117.4,11.24,-0.34
2021-05-20,117.8,118,119.4,116,4.69,0.85
2021-05-19,118.2,117,119,115.8,2.56,-1.18
2021-05-18,122.8,118.4,122.8,118.4,2.78,-2.15
2021-05-17,120.4,121,122.2,120.4,2.22,0.17
2021-05-14,123.2,120.8,124.8,120.8,5.57,-1.95
2021-05-13,126.4,123.2,126.4,121.6,4.69,-1.44
2021-05-12,122.8,125,126.2,122.8,7,1.96
2021-05-11,124,122.6,124.6,121.8,6.81,-3.16
2021-05-10,121,126.6,127,119.4,5.23,4.63
2021-05-07,122.2,121,122.8,121,5.2,-1.63
2021-05-06,125.8,123,125.8,122.2,9.78,-2.38
2021-05-05,122,126,126,121.8,3.17,2.44
2021-05-04,124.8,123,124.8,121.2,8.89,-1.6
2021-04-30,124.4,125,125.2,122.6,4.76,1.46
2021-04-29,123,123.2,124.4,122.2,5.08,0.16
2021-04-28,123,123,124.6,120.4,8.15,-1.13
2021-04-27,125,124.4,126.2,124.4,3.21,-1.27
2021-04-26,126.2,126,126.2,124.2,2.1,0.8
2021-04-23,123.4,125,126.2,120.4,5.46,-0.64
2021-04-22,127.8,125.8,127.8,124.6,3.23,-1.56
2021-04-21,127,127.8,128.6,126.4,3.33,-0.47
2021-04-20,127.6,128.4,129.4,127,7,0.31
2021-04-19,128,128,129.8,127.8,5.06,0
2021-04-16,128.2,128,128.2,127,8.96,0.63
2021-04-15,127,127.2,129,126.8,2.55,0.16
2021-04-14,127,127,128,126.2,11.9,0
2021-04-13,129,127,129,127,12.48,-1.55
2021-04-12,126.4,129,131,126.4,1.58,1.57
2021-04-09,129,127,129.4,126.4,5.7,-0.63
2021-04-08,127,127.8,128.8,126.8,3.98,1.43
